tipo,algoritmo,linguagem,variante,tamanho,execucao,energia_j,energia_cores_j,energia_ram_j,duracao_s,user_time_s,system_time_s,potencia_w,energia_por_elemento_j
exec,bolha,rust,v1,50000,5,"33,78","24,64","6,98","5,351514","5,336","0,012","6,3122","0,0006756"
exec,bolha,rust,v1,50000,6,"32,49","23,49","6,43","5,30434","5,28","0,02","6,1252","0,0006498"
exec,bolha,rust,v1,50000,7,"30,19","21,64","5,55","5,191772","5,186","0,004","5,815","0,0006038"
exec,bolha,rust,v1,50000,8,"30,65","22,03","5,71","5,211947","5,206","0,004","5,8807","0,000613"
exec,bolha,rust,v1,50000,9,"30,21","21,6","5,55","5,183757","5,182",0,"5,8278","0,0006042"
exec,bolha,rust,v1,50000,10,"31,25","22,48","5,93","5,2859","5,284",0,"5,912","0,000625"
exec,bolha,rust,v1,100000,1,"122,3","87,91","22,27","20,806975","20,792","0,012","5,8778","0,001223"
exec,bolha,rust,v1,100000,2,"121,6","87,28","22,1","20,758386","20,748","0,008","5,8579","0,001216"
exec,bolha,rust,v1,100000,3,"123,79","89,05","22,21","20,816151","20,807","0,004","5,9468","0,0012379"
exec,bolha,rust,v1,100000,4,"131,4","95,49","25,72","21,214321","21,207","0,004","6,1939","0,001314"
exec,bolha,rust,v1,100000,5,"121,96","87,56","22,38","20,798824","20,792","0,004","5,8638","0,0012196"
exec,bolha,rust,v1,100000,6,"120,95","86,7","22,17","20,759775","20,757",0,"5,8262","0,0012095"
exec,bolha,rust,v1,100000,7,"122,29","87,78","22,2","20,770691","20,752","0,016","5,8876","0,0012229"
exec,bolha,rust,v1,100000,8,"122,61","87,96","22,4","20,805562","20,799","0,004","5,8931","0,0012261"
exec,bolha,rust,v1,100000,9,"121,49","87,1","22,2","20,782787","20,77","0,008","5,8457","0,0012149"
exec,bolha,rust,v1,100000,10,"121,7","87,27","22,19","20,787463","20,768","0,016","5,8545","0,001217"
exec,bolha,rust,v2,10,1,"0,01","0,01",0,"0,002526","0,001",0,"3,9587","0,001"
exec,bolha,rust,v2,10,2,"0,01","0,01",0,"0,002592","0,001",0,"3,8577","0,001"
exec,bolha,rust,v2,10,3,"0,01","0,01",0,"0,002533","0,001",0,"3,948","0,001"
exec,bolha,rust,v2,10,4,"0,02","0,01","0,01","0,002873","0,001",0,"6,9625","0,002"
exec,bolha,rust,v2,10,5,"0,01","0,01",0,"0,002659","0,001",0,"3,7611","0,001"
exec,bolha,rust,v2,10,6,"0,02","0,01","0,01","0,002862","0,001",0,"6,9878","0,002"
exec,bolha,rust,v2,10,7,"0,02","0,01","0,01","0,002756","0,001",0,"7,2564","0,002"
