tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;insertion;rust;v1;100000;10;11,750000;NA;8,480000;2,120000;1,979807;NA;1,974000;0,004000;5,9349;0,000117500
exec;insertion;rust;v2;10;1;0,020000;NA;0,010000;0,010000;0,002736;NA;0,001000;0,000000;7,3113;0,002000000
exec;insertion;rust;v2;10;2;0,020000;NA;0,010000;0,000000;0,002503;NA;0,001000;0,000000;7,9896;0,002000000
exec;insertion;rust;v2;10;3;0,010000;NA;0,010000;0,000000;0,002713;NA;0,001000;0,000000;3,6863;0,001000000
exec;insertion;rust;v2;10;4;0,020000;NA;0,010000;0,010000;0,003032;NA;0,001000;0,000000;6,5961;0,002000000
exec;insertion;rust;v2;10;5;0,020000;NA;0,010000;0,010000;0,002810;NA;0,001000;0,000000;7,1174;0,002000000
exec;insertion;rust;v2;10;6;0,020000;NA;0,010000;0,010000;0,002775;NA;0,001000;0,000000;7,2084;0,002000000
exec;insertion;rust;v2;10;7;0,020000;NA;0,020000;0,010000;0,003080;NA;0,000000;0,001000;6,4938;0,002000000
exec;insertion;rust;v2;10;8;0,020000;NA;0,010000;0,010000;0,002682;NA;0,001000;0,000000;7,4583;0,002000000
exec;insertion;rust;v2;10;9;0,020000;NA;0,010000;0,010000;0,002751;NA;0,001000;0,000000;7,2690;0,002000000
exec;insertion;rust;v2;10;10;0,010000;NA;0,010000;0,000000;0,002703;NA;0,001000;0,000000;3,7002;0,001000000
exec;insertion;rust;v2;100;1;0,020000;NA;0,010000;0,000000;0,002752;NA;0,001000;0,000000;7,2678;0,000200000
exec;insertion;rust;v2;100;2;0,010000;NA;0,010000;0,000000;0,002546;NA;0,001000;0,000000;3,9283;0,000100000
exec;insertion;rust;v2;100;3;0,020000;NA;0,010000;0,010000;0,002514;NA;0,001000;0,000000;7,9565;0,000200000
exec;insertion;rust;v2;100;4;0,020000;NA;0,010000;0,010000;0,003001;NA;0,001000;0,000000;6,6643;0,000200000
exec;insertion;rust;v2;100;5;0,020000;NA;0,010000;0,010000;0,002769;NA;0,001000;0,000000;7,2222;0,000200000
exec;insertion;rust;v2;100;6;0,010000;NA;0,010000;0,000000;0,002759;NA;0,001000;0,000000;3,6247;0,000100000
exec;insertion;rust;v2;100;7;0,020000;NA;0,010000;0,010000;0,002893;NA;0,001000;0,000000;6,9121;0,000200000
exec;insertion;rust;v2;100;8;0,020000;NA;0,010000;0,010000;0,002630;NA;0,000000;0,001000;7,6047;0,000200000
